Chemical,MeltingPoint,BoilingPoint,Dielectric,DipoleMoment
W01_WATER,0,100,78.3,5.9
G02_Formamide,2.55,210.5,111,11.2
A03_1.2-Ethanediol__,-12.6,197.15,37.7,7.7
A04_Methanol,-97.7,64.5,32.66,5.7
G05_N-Methyl_formamid,-3.8,182.5,182.4,12.9
A06_diethylenglycol,-7.8,245.7,31.69,7.7
A07_triethylenglycol,-4.3,288,23.69,10
A08_2-Methoxyethanol,-85.1,124.6,16.93,6.8
G10_N-Methylacetamid,30.6,206.7,191.3,14.2
A11_Ethanol,-114.5,78.3,24.55,5.8
A12_2-AminoEthanol,10.5,170.95,37.72,7.6
F13_Acetic_acid,16.7,117.9,6.17,5.6
A15_Benzylalcohol,-15.3,205.45,13.1,5.5
A14_1-Propanol,-126.2,97.15,20.45,5.5
A16_1-butanol,-88.6,117.7,17.51,5.8
A19_2-methyl_1-propa,-108,107.9,17.93,6
A20_2-propanol,-88,82.2,19.92,5.5
A21_2_butanol,-114.7,99.5,16.56,5.5
A18_3-methyl_1-butan,-117.2,130.5,15.19,6.1
A22_cyclohexanol,25.15,161.1,15,6.2
C23_4-methyl-1.3-dio,-54.5,241.7,64.92,16.5
A24_2-pentanol,1,119,13.71,5.5
L25_Nitromethane,-28.55,101.2,35.94,11.9
N27_Acetonitrile,-43.8,81.6,35.94,11.8
A26_3-pentanol,-75,115.3,13.35,5.5
X28_dimethylsulfoxid,18.5,189,46.45,13.5
+29_aniline,-6,184.4,6.71,5
X30_Sulfolane,28.45,287.3,43.3,16
F31_acetic_anhydride,-73.1,140,20.7,9.4
A35_t-butanol,25.6,82.3,12.47,5.5
G32_N-N-dimethylform,-60.4,153,36.71,10.8
G33_N-N-dimethylacet,-20,166.1,37.78,12.4
N34_propannitrile,-92.8,97.35,28.86,11.7
G37_1-methyl-pyrroli,-24.4,202,32.2,13.6
K38_Acetone,-94.7,56.1,20.56,9
L44_nitrobenzene,5.8,210.8,34.78,13.3
N41_Benzonitrile,-12.75,191.1,25.2,13.4
+40_1.2.Diaminoethan,11.3,116.9,12.9,6.3
H42_1.2-Dichloroetha,-35.7,83.5,10.7,6.1
A45_2-methyl-2-butan,-8.8,102,5.78,5.7
K43_2-butanone,-86.7,79.6,18.51,9.2
K52_Acetophenone,19.6,202,17.39,9.8
H51_dichlormethane,-94.9,39.6,8.93,5.2
U47_1.1.3.3.tetramet,-1.2,175.2,23.6,11.7
G49_HMPT,7.2,233,29.6,18.5
K55_cyclohexanone,-32.1,155.65,16.1,10.3
+53_pyridine,-41.55,115.25,12.91,7.9
E54_Methylacetate,-98.05,56.9,6.68,5.7
K56_4-methyl-2-penta,-84.7,117.4,13.11,2.7
H57_1.1.-dichloroeth,-97,57.3,10,6.1
