Chemical,RefractiveIndex,ET30,Density,logP,Solubility
W01_WATER,1.333,63.1,0.9982,-1.38,1.774
G02_Formamide,1.4475,56.6,1.1334,-1.51,1.401
A03_1.2-Ethanediol__,1.4318,56.3,1.1088,-1.36,1.06
A04_Methanol,1.3284,55.4,0.7914,-0.77,1.393
G05_N-Methyl_formamid,1.4319,54.1,1.01,-1.3,1
A06_diethylenglycol,1.4475,53.8,1.109,1,1
A07_triethylenglycol,1.4558,53.5,1.0682,-1.33,0.8521
A08_2-Methoxyethanol,1.4021,52.3,0.965,-0.77,1.103
G10_N-Methylacetamid,1.4253,52,0.957,-1.05,1
A11_Ethanol,1.3614,51.9,0.785,-0.31,1.231
A12_2-AminoEthanol,1.4545,51.8,1.018,-1.31,1.216
F13_Acetic_acid,1.3719,51.7,1.0492,-0.17,1.002
A15_Benzylalcohol,1.5404,50.4,1.042,1.1,-0.992
A14_1-Propanol,1.3856,50.7,0.804,0.25,1.126
A16_1-butanol,1.3993,50.2,0.8098,0.88,0.125
A19_2-methyl_1-propa,1.3959,48.6,0.794,0.76,0.176
A20_2-propanol,1.3772,48.4,0.786,0.05,1.117
A21_2_butanol,1.3971,47.1,0.808,0.61,0.176
A18_3-methyl_1-butan,1.4072,49,0.8092,1.42,-0.518
A22_cyclohexanol,1.4648,46.9,0.962,1.23,-0.755
C23_4-methyl-1.3-dio,1.4215,46.6,1.204,1,1
A24_2-pentanol,1.4064,46.5,0.81,1.19,-0.612
L25_Nitromethane,1.3819,46.3,1.137,-0.35,0.235
N27_Acetonitrile,1.3441,45.6,0.7857,-0.34,1.282
A26_3-pentanol,1.4104,45.7,0.821,1.21,-0.234
X28_dimethylsulfoxid,1.4793,45.1,1.101,-1.35,1
+29_aniline,1.5863,44.3,1.0217,0.9,-0.37
X30_Sulfolane,1.4816,44,1.262,-0.77,1
F31_acetic_anhydride,1.3904,43.9,1.082,1,0.07
A35_t-butanol,1.3877,43.3,0.789,0.35,-1.057
G32_N-N-dimethylform,1.4305,43.8,0.945,-1.01,1.112
G33_N-N-dimethylacet,1.4384,43.7,0.937,-0.77,1.11
N34_propannitrile,1.3658,43.7,0.782,0.16,1
G37_1-methyl-pyrroli,1.47,42.2,1.026,1,1
K38_Acetone,1.3587,42.2,0.79,-0.24,1.134
L44_nitrobenzene,1.5562,41.2,1.204,1.85,-1.778
N41_Benzonitrile,1.5282,41.5,1.01,1.56,-1.013
+40_1.2.Diaminoethan,1.4568,42,0.899,-2.04,1
H42_1.2-Dichloroetha,1.4448,38,1.235,1.48,-1.092
A45_2-methyl-2-butan,1.405,41.1,0.806,0.89,0.039
K43_2-butanone,1.3788,41.3,0.805,0.29,0.494
K52_Acetophenone,1.5342,40.6,1.0281,1.58,-1.553
H51_dichlormethane,1.4242,40.7,1.33,1.25,-0.699
U47_1.1.3.3.tetramet,1.4493,41,0.969,0.19,1
G49_HMPT,1.4588,40.9,1.024,0.28,1
K55_cyclohexanone,1.451,39.8,0.9478,0.81,-1.236
+53_pyridine,1.5102,40.5,0.982,0.65,1.094
E54_Methylacetate,1.3614,40,0.933,0.18,0.486
K56_4-methyl-2-penta,1.3958,39.4,0.7978,1.31,-0.871
H57_1.1.-dichloroeth,1.4164,39.4,1.176,1.79,-1.259
+58_Quinoline,1.6273,39.4,1.093,2.03,1
K59_3-pentanone,1.3923,39.3,0.8138,0.91,-0.27
H60_chloroform,1.4459,39.1,1.48,1.97,-1.246
T62_Trietylenglycold,1.4224,38.9,1,1,1
T64_dietylenglycoldi,1.4078,38.6,1,1,1
T65_1.2-Dimethoxyeth,1.3796,38.2,0.8629,-0.21,1
H67_1.2.Dichlorobenz,1.5515,38,1.305,3.38,-3.029
E66_ethylacetate,1.3724,38.1,0.9,0.73,-0.041
